Anaxyrus+boreas
Lithobates+magnaocularis
Lithobates+megapoda
Lithobates+montezumae
Lithobates+neovolcanicus
Lithobates+omiltemanus
Lithobates+psilonota
Lithobates+pueblae
Lithobates+pustulosus
Lithobates+sierramadrensis
Lithobates+spectabilis
Lithobates+tarahumarae
Lithobates+tlaloci
Lithobates+vaillanti
Lithobates+yavapaiensis
Lithobates+zweifeli
Rana+boylii
Rana+draytonii
Rhinophrynus+dorsalis
Scaphiopus+couchii
Scaphiopus+hurteri
Spea+bombifrons
Spea+hammondii
Spea+multiplicata
Ambystoma+altamirani
Ambystoma+amblycephalum
Ambystoma+andersoni
Ambystoma+bombypellum
Ambystoma+dumerilii
Ambystoma+flavipiperatum
Ambystoma+granulosum
Ambystoma+leorae
Ambystoma+lermaense
Ambystoma+mexicanum
Ambystoma+ordinarium
Ambystoma+rivulare
Ambystoma+rosaceum
Ambystoma+silvense
Ambystoma+subsalsum
Ambystoma+taylori
Ambystoma+tigrinum
Ambystoma+velasci
Aneides+lugubris
Batrachoseps+major
Batrachoseps+major
Bolitoglossa+alberchi
Bolitoglossa+chinanteca
Bolitoglossa+engelhardti
Bolitoglossa+flavimembris
Bolitoglossa+flaviventris
Bolitoglossa+franklini
Bolitoglossa+hartwegi
Bolitoglossa+hermosa
Bolitoglossa+lincolni
Bolitoglossa+macrinii
Bolitoglossa+mexicana
Bolitoglossa+mulleri
Bolitoglossa+oaxacensis
Bolitoglossa+occidentalis
Bolitoglossa+platydactyla
Bolitoglossa+riletti
Bolitoglossa+rostrata
Bolitoglossa+rufescens
Bolitoglossa+stuarti
Bolitoglossa+veracrucis
Bolitoglossa+yucatana
Bolitoglossa+zapoteca
Chiropterotriton+arboreus
Chiropterotriton+chiropterus
Chiropterotriton+chondrostega
Chiropterotriton+cracens
Chiropterotriton+dimidiatus
Chiropterotriton+lavae
Chiropterotriton+magnipes
Chiropterotriton+mosaueri
Chiropterotriton+multidentatus
Chiropterotriton+orculus
Chiropterotriton+priscus
Chiropterotriton+terrestris
Cryptotriton+adelos
Cryptotriton+alvarezdeltoroi
Dendrotriton+megarhinus
Dendrotriton+xolocalcae
Ensatina+eschscholtzii
Nyctanolis+pernix
Oedipina+elongata
Parvimolge+townsendi
Pseudoeurycea+ahuitzotl
Pseudoeurycea+altamontana
Pseudoeurycea+amuzga
Pseudoeurycea+anitae
Pseudoeurycea+aquatica
Pseudoeurycea+aurantia
Pseudoeurycea+bellii
Pseudoeurycea+boneti
Pseudoeurycea+brunnata
Pseudoeurycea+cafetalera
Pseudoeurycea+cephalica
Pseudoeurycea+cochranae
Pseudoeurycea+conanti
Pseudoeurycea+firscheini
Pseudoeurycea+gadovii
Pseudoeurycea+galeanae
Pseudoeurycea+gigantea
Pseudoeurycea+goebeli
Pseudoeurycea+juarezi
Pseudoeurycea+leprosa
Pseudoeurycea+lineola
Pseudoeurycea+longicauda
Pseudoeurycea+lynchi
Pseudoeurycea+maxima
Pseudoeurycea+melanomolga
Pseudoeurycea+mixcoatl
Pseudoeurycea+mixteca
Pseudoeurycea+mystax
Pseudoeurycea+naucampatepetl
Pseudoeurycea+nigra
Pseudoeurycea+nigromaculata
Pseudoeurycea+obesa
Pseudoeurycea+orchileucos
Pseudoeurycea+orchimelas
Pseudoeurycea+papenfussi
Pseudoeurycea+parva
Pseudoeurycea+praecellens
Pseudoeurycea+quetzalanensis
Pseudoeurycea+rex
Pseudoeurycea+robertsi
Pseudoeurycea+ruficauda
Pseudoeurycea+saltator
Pseudoeurycea+scandens
Pseudoeurycea+smithi
Pseudoeurycea+tenchalli
Pseudoeurycea+teotepec
Pseudoeurycea+tlahcuiloh
Pseudoeurycea+tlilicxitl
Pseudoeurycea+unguidentis
Pseudoeurycea+werleri
Thorius+arboreus
Thorius+aureus
Thorius+boreas
Thorius+dubitus
Thorius+grandis
Thorius+infernalis
Thorius+insperatus
Thorius+lunaris
Thorius+macdougalli
Thorius+magnipes
Thorius+minutissimus
Thorius+minydemus
Thorius+munificus
Thorius+narismagnus
Thorius+narisovalis
Thorius+omiltemi
Thorius+papaloae
Thorius+pennatulus
Thorius+pulmonaris
Thorius+schmidti
Thorius+smithi
Thorius+spilogaster
Thorius+troglodytes
Notophthalmus+meridionalis
Siren+intermedia
Siren+lacertina
Dermophis+mexicanus
Dermophis+oaxacae
