identifier	publicationType	full_reference	primaryTitle	title	pageStart	pageEnd	volume	publisher	authorList	editorList	created	language	uri	doi
R121	journal article		Transactions of the Kansas Academy of Science	A new species of fringe-limbed tree frog from Mexico. Studies of American hylid frogs. VIII	349	352	64		Duellman, W.E.		1961	en	http://www.jstor.org/stable/3626762	
R122	journal article		Miscellaneous Publications / University of Michigan, Museum of Zoology	Hylid frogs of the genus Plectrohyla: systematics and phylogenetic relationships			181		Duellman, W.E.|Campbell, J.A.		1992	en	http://hdl.handle.net/2027.42/56425	
R123	journal article		University of Kansas Publications of the Museum of Natural History	Middle American frogs of the Hyla microcephala group	517	557	17		Duellman, W.E.|Fouquette, M.J. Jr.		1968	en	http://biostor.org/reference/14508	
R124	journal article		University of Kansas Publications of the Museum of Natural History	Descriptions of Two Species of Frogs, Genus Ptychohyla. Studies	349	357	13		Duellman, W.E.		1961	en		
R125	journal article		Proceedings of the Biological Society of Washington	Two new Central American salamanders	143	145	34		Dunn, E.R.		1921	en	http://biostor.org/reference/51905	
R126	journal article		Proceedings of the Biological Society of Washington	A new salamander from Mexico	5	6	35		Dunn, E.R.		1922	en	http://biostor.org/reference/51865	
R127	book		The Salamanders of the Family Plethodontidae					Smith College	Dunn, E.R.		1926	en	https://archive.org/details/salamandersoffam00dunn	
R128	journal article		Copeia	New Plethodontid Salamanders of the Genus Thorius from Puebla, Mexico	203	206	1959		Gehlbach, F.R.		1959	en	http://www.jstor.org/stable/1440387	
R129	book		Biologia Centrali Americana	Reptilia and Batrachia				R.H. Porter and Dulau & Co.	Günther, A.C.	Salvin, O.|Godman, F.D.	1900	en	http://biodiversitylibrary.org/page/572835	
R130	journal article		Copeia	Five new species of minute salamanders, genus Thorius (Caudata: Plethodontidae), from northern Oaxaca, Mexico	573	590	1994		Hanken, J.|Wake, D.B.		1994	en	http://www.jstor.org/stable/1447174	
R131	journal article		Copeia	Three new species of minute salamanders (Thorius: Plethodontidae) from Guerrero, Mexico, including the report of a novel dental polymorphism in urodeles	917	931	1999		Hanken, J.|Wake, D.B.|Freeman, H.L.		1999	en		
R132	journal article		Occasional Papers of the Museum of Zoology, University of Michigan	Notes on the genus Plectrohyla, with descriptions of new species	2	10	437		Hartweg, N.		1941	en	http://hdl.handle.net/2027.42/56876	
R133	journal article		Occasional Papers of the Museum of Natural History University of Kansas	Three new species of leopard frogs (Rana pipiens complex) from the Mexican Plateau	1	14	117		Hillis, D.M.|Frost, J.S.		1985	en		
R134	journal article		Bulletin of the United States National Museum	Mexican tailless amphibians in the United States National Museum	1	224	160		Kellogg, R.		1932	en		http://dx.doi.org/10.5479/si.03629236.160.i
R135	report	Lemos Espinal, J.A. 2007 Anfibios y reptiles del estado de Sonora. Universidad Nacional Autónoma de México. Informe final SNIB-CONABIO proyecto No. CE001 México D.F.							Lemos Espinal, J.A.		2007	es		
R136	journal article		Proceedings of The Biological Society of Washington	Two new Eleutherodactylus from western Mexico (Amphibia; Leptodactylidae)	211	217	80		Lynch, J.D.		1967	en	http://biostor.org/reference/82642	
R137	journal article		Transactions of the Kansas Academy of Science (1903-)	Two New Species of Eleutherodactylus from Guatemala and Mexico (Amphibia:Leptodactylidae)	177	183	70		Lynch, J.D.		1967	en	http://www.jstor.org/stable/3627116	
R138	journal article		University of Kansas Museum of Natural History	A taxonomic revision of the leptodactylid frog genus Syrrhophus Cope	1	45	20		Lynch, J.D.		1970	en	http://biostor.org/reference/51687	
R139	journal article		Contributions in Science. Natural History Museum of Los Angeles County	Two new species of Pseudoeurycea (Amphibia: Caudata) from Oaxaca, Mexico	11	22	411		Lynch, J.D.|Wake, D.B.		1989	en		
R140	journal article		Catalogue of American Amphibians and Reptiles	Aneides lugubris (Hallowell). Arboreal Salamander			159		Lynch, J.D.|Wake, D.B.		1974	en		
R141	journal article		Copeia	Genic and Morphological Differentiation in Mexican Pseudoeurycea (Caudata: Plethodontidae), with a Description of a New Species	884	894	1983		Lynch, J.D.|Wake, D.B.|Yang, S.Y.		1983	en	http://www.jstor.org/stable/1445090	
R142	journal article		Proceedings of the Biological Society of Washington	Two new species of the Hyla sumichrasti group (Amphibia: Anura: Hylidae)	398	409	107		Mendelson, J.R. III|Campbell, J.A.		1994	en	http://biostor.org/reference/81244	
R143	book		Amphibians and reptiles of the Pacific Northwest					University Press Of Idaho	Nussbaum, R.A.|Brodie, E.D.J.|Storm, R.M.		1983	en		
